"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"124",2007-04-07,115885,NA,21594,NA,NA,41874,NA,NA,48709,NA,35079,NA,NA
"125",2007-04-14,105138,NA,21367,NA,NA,46276,NA,NA,53561,NA,33915,NA,NA
"126",2007-04-21,118836,NA,20532,NA,NA,47624,NA,NA,81631,NA,33012,NA,NA
"127",2007-04-28,160820,NA,20483,NA,NA,48729,NA,NA,124874,NA,52660,NA,NA
"128",2007-05-05,149772,NA,23215,NA,NA,53322,NA,NA,122642,NA,51188,NA,NA
"129",2007-05-12,135370,NA,22301,NA,NA,56226,NA,NA,116099,NA,45666,NA,NA
"130",2007-05-19,126120,NA,20923,NA,NA,56600,NA,NA,97203,NA,39524,NA,NA
"131",2007-05-26,115223,NA,21212,NA,NA,56296,NA,NA,81974,NA,33494,NA,NA
"132",2007-06-02,113568,NA,22232,NA,NA,55523,NA,NA,87310,NA,35793,NA,NA
"133",2007-06-09,119168,NA,20676,NA,NA,54988,NA,NA,97665,NA,48663,NA,NA
"134",2007-06-16,126951,NA,20550,NA,NA,55163,NA,NA,100690,NA,48501,NA,NA
"135",2007-06-23,127390,NA,18656,NA,NA,56391,NA,NA,95150,NA,43753,NA,NA
"136",2007-06-30,127699,NA,18775,NA,NA,61849,NA,NA,101538,NA,44855,NA,NA
"137",2007-07-07,124079,NA,20834,NA,NA,55318,NA,NA,87288,NA,37047,NA,NA
"138",2007-07-14,119173,NA,48793,NA,NA,53719,NA,NA,95558,NA,34532,NA,NA
"139",2007-07-21,119331,NA,42513,NA,NA,57889,NA,NA,102628,NA,32667,NA,NA
"140",2007-07-28,110483,NA,41002,NA,NA,51851,NA,NA,99811,NA,34308,NA,NA
"141",2007-08-04,104682,NA,36622,NA,NA,48001,NA,NA,95875,NA,35143,NA,NA
"142",2007-08-11,104245,NA,31368,NA,NA,44115,NA,NA,102053,NA,62902,NA,NA
"143",2007-08-18,107483,NA,36227,NA,NA,40335,NA,NA,105370,NA,70366,NA,NA
"144",2007-08-25,110907,NA,32770,NA,NA,37506,NA,NA,107813,NA,66406,NA,NA
"145",2007-09-01,108834,NA,36244,NA,NA,35287,NA,NA,129608,NA,81115,NA,NA
"146",2007-09-08,107407,NA,40809,NA,NA,43956,NA,NA,121399,NA,76126,NA,NA
"147",2007-09-15,109610,NA,23799,NA,NA,64078,NA,NA,97253,NA,89169,NA,NA
"148",2007-09-22,100291,NA,21402,NA,NA,56482,NA,NA,96262,NA,104128,NA,NA
"149",2007-09-29,119112,NA,23372,NA,NA,64885,NA,NA,102162,NA,123543,NA,NA
"150",2007-10-06,113048,NA,23452,NA,NA,67361,NA,NA,99692,NA,130736,NA,NA
"151",2007-10-13,93086,NA,24774,NA,NA,61334,NA,NA,99848,NA,123807,NA,NA
"152",2007-10-20,122895,NA,25787,NA,NA,70768,NA,NA,114857,NA,113049,NA,NA
"153",2007-10-27,108116,NA,39745,NA,NA,66298,NA,NA,128759,NA,111355,NA,NA
"154",2007-11-03,120198,NA,50005,NA,NA,70930,NA,NA,138059,NA,113432,NA,NA
"155",2007-11-10,158503,NA,71733,NA,NA,79576,NA,NA,137821,NA,118955,NA,NA
"156",2007-11-17,218984,NA,87072,NA,NA,83501,NA,NA,251238,NA,136313,NA,NA
"157",2007-11-24,611777,NA,157949,NA,NA,190189,NA,NA,383499,NA,292852,NA,NA
"158",2007-12-01,444828,NA,137245,NA,NA,150693,NA,NA,288811,NA,178671,NA,NA
"159",2007-12-08,555156,NA,160840,NA,NA,197683,NA,NA,240012,NA,232045,NA,NA
"160",2007-12-15,638651,NA,186820,NA,NA,233031,NA,NA,143967,NA,276516,NA,NA
"161",2007-12-22,793911,NA,211666,NA,NA,271025,NA,NA,654029,NA,321712,NA,NA
"162",2007-12-29,360812,NA,112832,NA,NA,132373,NA,NA,254209,NA,151634,NA,NA
"163",2008-01-05,119356,NA,67472,NA,NA,70231,NA,NA,96295,NA,94122,NA,NA
"164",2008-01-12,69509,NA,50078,NA,NA,59978,NA,NA,42728,NA,64025,NA,NA
"165",2008-01-19,72060,NA,53090,NA,NA,55378,NA,NA,53615,NA,48941,NA,NA
"166",2008-01-26,93515,NA,59739,NA,NA,55845,NA,NA,117708,NA,52863,NA,NA
"167",2008-02-02,103749,NA,65557,NA,NA,54852,NA,NA,80731,NA,48827,NA,NA
"168",2008-02-09,146220,NA,70295,NA,NA,52245,NA,NA,157238,NA,65350,NA,NA
"169",2008-02-16,163009,NA,66452,NA,NA,54630,NA,NA,41501,NA,62987,NA,NA
"170",2008-02-23,97833,NA,78511,NA,NA,58368,NA,NA,68708,NA,67079,NA,NA
"171",2008-03-01,134428,NA,80867,NA,NA,66828,NA,NA,167459,NA,73013,NA,NA
"172",2008-03-08,96984,NA,56102,NA,NA,58768,NA,NA,67160,NA,55731,NA,NA
"173",2008-03-15,131057,NA,48605,NA,NA,54377,NA,NA,148172,NA,51816,NA,NA
"174",2008-03-22,143228,NA,60364,NA,NA,62493,NA,NA,216423,NA,61445,NA,NA
"175",2008-03-29,140547,NA,49254,NA,NA,71935,NA,NA,93617,NA,46497,NA,NA
"176",2008-04-05,154090,NA,39066,NA,NA,66342,NA,NA,179104,NA,35432,NA,NA
"177",2008-04-12,135868,NA,35894,NA,NA,65767,NA,NA,102727,NA,35624,NA,NA
"178",2008-04-19,170706,NA,46781,NA,NA,52677,NA,NA,177434,NA,38149,NA,NA
"179",2008-04-26,150511,NA,48276,NA,NA,46931,NA,NA,80223,NA,45567,NA,NA
"180",2008-05-03,135020,NA,86224,NA,NA,52504,NA,NA,333130,NA,73857,NA,NA
"181",2008-05-10,141021,NA,48835,NA,NA,45099,NA,NA,123983,NA,40681,NA,NA
"182",2008-05-17,127901,NA,43991,NA,NA,44600,NA,NA,99674,NA,39048,NA,NA
